OMRP,men,women,pop_total,mean_age,age_0_14,age_15_24,age_25_44,age_45_64,age_65_plus,pct_0_14,pct_65_plus,pct_women
11301,95,82,177,42.813559322033896,36,9,32,68,32,20.338983050847457,18.07909604519774,46.32768361581921
11302,325,334,659,44.73596358118361,115,70,124,158,192,17.450682852807283,29.1350531107739,50.682852807283766
11303,5,16,21,81.33333333333333,0,0,0,2,19,0.0,90.47619047619048,76.19047619047619
11304,1063,1132,2195,44.312072892938495,344,210,454,643,544,15.671981776765376,24.78359908883827,51.571753986332574
11305,1,3,4,23.0,0,3,1,0,0,0.0,0.0,75.0
11306,1,3,4,24.5,0,2,2,0,0,0.0,0.0,75.0
11307,42,35,77,42.90909090909091,14,8,11,30,14,18.181818181818183,18.181818181818183,45.45454545454545
11308,716,689,1405,43.395017793594306,275,109,307,352,362,19.572953736654803,25.765124555160142,49.03914590747331
11401,621,617,1238,42.635702746365105,138,174,335,344,247,11.147011308562197,19.951534733441033,49.83844911147011
11402,651,670,1321,39.018168054504166,198,182,421,318,202,14.988644965934897,15.291445874337622,50.71915215745647
11403,774,758,1532,39.13446475195823,247,233,412,389,251,16.12271540469974,16.383812010443865,49.47780678851175
11404,327,361,688,41.80668604651163,129,75,138,209,137,18.75,19.912790697674417,52.47093023255814
11405,194,231,425,40.27058823529412,83,46,101,116,79,19.529411764705884,18.58823529411765,54.35294117647059
11406,411,446,857,39.576429404900814,34,253,272,141,157,3.9673278879813303,18.319719953325553,52.04200700116686
11407,413,410,823,31.913730255164033,41,267,362,96,57,4.981773997569866,6.92588092345079,49.817739975698665
11408,77,67,144,32.65277777777778,5,44,69,18,8,3.4722222222222223,5.555555555555555,46.52777777777778
11409,808,823,1631,30.297976701410178,39,587,794,132,79,2.391171060698958,4.843654199877376,50.45984058859595
11410,355,350,705,30.615602836879432,35,229,339,64,38,4.964539007092198,5.390070921985815,49.645390070921984
11411,238,251,489,35.56441717791411,74,96,160,105,54,15.132924335378323,11.042944785276074,51.329243353783234
11412,188,192,380,32.363157894736844,34,115,142,59,30,8.947368421052632,7.894736842105263,50.526315789473685
11413,10,17,27,74.0,0,0,0,7,20,0.0,74.07407407407408,62.96296296296296
11414,51,60,111,80.5945945945946,0,0,0,10,101,0.0,90.990990990991,54.054054054054056
11415,20,17,37,84.29729729729729,0,0,0,1,36,0.0,97.29729729729729,45.945945945945944
11416,925,902,1827,31.220032840722496,405,362,565,352,143,22.167487684729064,7.82703886152162,49.37055281882868
11417,21,15,36,77.05555555555556,0,0,0,3,33,0.0,91.66666666666667,41.666666666666664
11418,16,15,31,68.03225806451613,0,1,2,8,20,0.0,64.51612903225806,48.38709677419355
11419,615,660,1275,34.946666666666665,113,292,508,242,120,8.862745098039216,9.411764705882353,51.76470588235294
11420,18,19,37,23.324324324324323,0,26,11,0,0,0.0,0.0,51.351351351351354
11421,143,154,297,36.92929292929293,53,57,75,72,40,17.845117845117844,13.468013468013469,51.851851851851855
11422,35,39,74,23.93243243243243,0,61,12,0,1,0.0,1.3513513513513513,52.7027027027027
11423,177,163,340,34.97352941176471,22,80,145,62,31,6.470588235294118,9.117647058823529,47.94117647058823
11424,30,33,63,40.96825396825397,2,17,17,15,12,3.1746031746031744,19.047619047619047,52.38095238095238
11425,125,83,208,40.32692307692308,24,20,61,89,14,11.538461538461538,6.730769230769231,39.90384615384615
11501,13,12,25,39.8,4,2,5,13,1,16.0,4.0,48.0
11502,15,14,29,54.689655172413794,2,2,2,14,9,6.896551724137931,31.03448275862069,48.275862068965516
11503,15,29,44,84.68181818181819,0,0,0,0,44,0.0,100.0,65.9090909090909
11504,809,819,1628,44.834766584766584,280,132,357,418,441,17.1990171990172,27.088452088452087,50.307125307125304
11505,5,7,12,23.083333333333332,0,8,4,0,0,0.0,0.0,58.333333333333336
11506,17,12,29,24.137931034482758,1,16,11,1,0,3.4482758620689653,0.0,41.37931034482759
11507,10,12,22,69.4090909090909,0,0,1,7,14,0.0,63.63636363636363,54.54545454545455
11508,453,508,961,44.236212278876174,154,89,209,271,238,16.024973985431842,24.765868886576484,52.86160249739854
11509,44,47,91,50.417582417582416,9,5,20,27,30,9.89010989010989,32.967032967032964,51.64835164835165
11510,612,653,1265,46.18102766798419,183,101,252,413,316,14.466403162055336,24.9802371541502,51.6205533596838
11511,24,25,49,41.38775510204081,10,5,15,7,12,20.408163265306122,24.489795918367346,51.02040816326531
11512,276,322,598,38.974916387959865,138,69,123,174,94,23.076923076923077,15.719063545150501,53.84615384615385
11513,9,6,15,51.06666666666667,0,2,3,6,4,0.0,26.666666666666668,40.0
