hex_id,walk_access_15m,bike_access_15m,pt_stop_access_20m,green_share_pct,env_quality,builtup_pct,road_buf_pct,pop_density_km2
585054.05_6129283.41,3.84,11.63,0.0,0.0,40.78243932142435,0.0,0.0,298.34293484927343
585108.37_6130598.74,0.0,23.43,0.0,1.391663901260212,38.09451970135721,18.091290235739123,0.0,5.796478684734154
584683.53_6129714.1,0.0,16.74,19.5,65.06740493128137,80.37841950855663,0.0,0.0,0.0
583918.76_6129734.86,11.35,30.65,48.8,0.0,35.15332873665184,26.83643274802664,0.0,212.68641494824496
583485.75_6129984.86,15.41,34.84,65.55,0.0,37.10060089479696,9.065718094645867,0.0,55.48012195029527
584351.77_6129984.86,10.37,29.75,45.81,0.6634381554790837,38.876877745925334,8.450850270636915,0.0,39.35302163546202
583918.76_6130234.86,15.01,34.17,59.34,0.0,34.401888496500646,28.02326657840166,0.0,240.33820515638664
584744.82_6130257.56,0.0,16.74,19.5,14.794177664738736,50.39825226269391,1.7763839545890967,0.0,48.47299827538554
584351.77_6130484.86,5.23,27.9,37.24,1.4684218873808659,39.67539072109777,7.843791396254607,0.0,16.70791980788258
583918.76_6130734.86,7.5,41.24,48.99,1.3127860579619042,39.49762456186559,0.5849613393181229,0.0,0.0
584784.79_6130734.86,0.0,31.39,23.02,5.06128858702543,42.39501930432405,0.039379420747707346,0.0,0.0
584351.77_6130984.86,0.0,31.39,23.02,2.1687609245656914,41.01141080614046,2.4825585676523043,0.0,15.797459885040855
585479.76_6130916.81,0.0,24.27,0.0,100.0,84.46443490301314,0.0,0.0,0.0
585217.66_6130985.07,0.0,23.37,0.0,20.07244470850219,46.73084247547855,17.010098262480525,0.0,48.478888696890166
586373.93_6131483.93,0.0,19.85,0.0,0.0,41.40614868658186,0.0,0.0,0.0
585602.53_6131282.18,0.0,20.69,0.0,26.230596962171244,53.451456463531265,10.077960289405679,0.0,143.41890933615284
585217.8_6131484.86,0.0,29.8,21.24,2.618901440823334,40.07496881067531,9.31260881354532,0.0,49.66267193589198
586064.36_6131540.57,0.0,25.08,0.0,24.583398974262007,54.430720289766384,0.1673599661776487,0.0,0.0
585650.81_6131734.86,0.0,31.75,19.62,6.451057208951383,44.42148497646115,7.970583391468956,0.0,24.336509528023
586509.57_6131754.53,0.0,14.84,0.0,7.6091827708898565,45.039671418566435,0.01280806435266985,0.0,0.0
586864.95_6131696.14,0.0,17.02,0.0,22.099884647440877,53.769008286167285,0.0,0.0,0.0
587326.54_6131901.67,0.0,17.98,0.0,0.0,40.41959242506964,0.0,0.0,0.0
586949.58_6131985.36,0.0,25.42,0.0,0.15557766091532466,40.036151705090305,2.026133522600717,0.0,7.139906041613269
587747.26_6132115.11,0.0,19.78,44.51,0.0,40.45043441763628,0.011627993139234474,0.0,0.0
587382.86_6132234.86,0.0,23.6,30.78,0.0,40.19592092525943,2.530413715832354,0.0,32.50035572713148
587815.88_6132484.86,0.0,19.78,44.51,0.0,40.66080209563429,0.0,0.0,0.0
583052.74_6131734.86,0.0,16.24,17.42,6.057697427380321,44.46968017149213,1.463264326530424,0.0,0.0
582186.71_6131734.86,0.0,38.9,73.47,33.518193666577346,57.36861942531771,14.676863147447877,0.0,81.39160749476987
