hex_id,hex_area_m2,pop_M1_val,pop_M1,pop_M2_val,pop_M2,pop_M3_val,pop_M3,pop_M3_folk,pop_M4,pop_M5,pop_M6,age_0_14_M6,age_65plus_M6,pop_total,age_0_14,age_65plus,pop_density_km2,pct_0_14,pct_65plus,pop_M3_komm21,source
46,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
47,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
48,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
49,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
50,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
51,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
52,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
53,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
54,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
55,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
56,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
57,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
58,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
59,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
60,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
61,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
62,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
63,216506.3509460888,0.0,0.0,14.348024316109422,11.621580547112462,9.123158355983437,7.389555338227449,7.403095410956069,0.0,0.02326893733437902,0.0,0.0,0.0,7.403095410956069,0.0,0.0,34.19343302681905,0.0,0.0,8.95187266405367,dasymetric_v2 preferred=M3_folk ages=M6_scaled
64,216506.3509460888,0.0,0.0,112.39285714285714,91.03571428571429,71.11666814844921,57.60291932329108,57.708466637211764,0.0,10.016350442750337,0.0,0.0,0.0,57.708466637211764,0.0,0.0,266.5439899801437,0.0,0.0,69.78146522461115,dasymetric_v2 preferred=M3_folk ages=M6_scaled
65,216506.3509460888,0.0,0.0,2.391337386018237,1.9369300911854104,1.8186361673482867,1.473054842888714,1.475753959248636,0.0,0.02326893733437902,0.0,0.0,0.0,1.475753959248636,0.0,0.0,6.8162155650395055,0.0,0.0,1.7844915934915317,dasymetric_v2 preferred=M3_folk ages=M6_scaled
66,216506.3509460888,0.0,0.0,7.174012158054711,5.810790273556231,6.165376457438972,4.993817791551299,5.002968092617627,0.0,0.02326893733437902,0.0,0.0,0.0,5.002968092617627,0.0,0.0,23.107719800161394,0.0,0.0,6.049622599913599,dasymetric_v2 preferred=M3_folk ages=M6_scaled
67,216506.3509460888,7.498088933390934,6.073285253007148,21.522036474164132,17.432370820668694,12.010992709629893,9.72863692940788,9.746462961631101,0.4448980491181785,18.21210927217077,0.0,0.0,0.0,9.746462961631101,0.0,0.0,45.01698411635981,0.0,0.0,11.78548843613638,dasymetric_v2 preferred=M3_folk ages=M6_scaled
68,216506.3509460888,31.29903621663609,25.351523138292148,7.174012158054711,5.810790273556231,4.126905148982651,3.342701374247466,3.3488262921411347,21.235728357474734,6.257571655080306,0.0,0.0,0.0,3.3488262921411347,0.0,0.0,15.467566089897336,0.0,0.0,4.04942323138463,dasymetric_v2 preferred=M3_folk ages=M6_scaled
69,216506.3509460888,30.61556061724901,24.79792310561415,4.782674772036474,3.8738601823708207,2.2882839688063608,1.8534591155028322,1.8568552564172394,20.790830308355492,3.469694694947676,0.0,0.0,0.0,1.8568552564172394,0.0,0.0,8.576447057110146,0.0,0.0,2.2453218401624215,dasymetric_v2 preferred=M3_folk ages=M6_scaled
70,216506.3509460888,8.99562176907802,7.286253539682197,16.73936170212766,13.558510638297873,13.200100972896081,10.691788172835116,10.711379011909054,0.0,20.01513839312611,0.0,0.0,0.0,10.711379011909054,0.0,0.0,49.473740447347176,0.0,0.0,12.952271401111611,dasymetric_v2 preferred=M3_folk ages=M6_scaled
71,216506.3509460888,0.0,0.0,4.782674772036474,3.8738601823708207,4.18686018746666,3.391263621815226,3.3974775215669144,0.0,0.02326893733437902,0.0,0.0,0.0,3.3974775215669144,0.0,0.0,15.6922764931404,0.0,0.0,4.108252624576658,dasymetric_v2 preferred=M3_folk ages=M6_scaled
72,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
73,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
74,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
75,216506.3509460888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02326893733437902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,dasymetric_v2 preferred=M3_folk ages=M6_scaled
